customer_id,age,income,tenure_months,product_count,support_tickets,churn_risk
C001,25,45000,6,1,5,0.835511
C002,35,72000,24,3,1,0.000643
C003,45,95000,48,4,0,0.000001
C004,28,38000,3,1,8,0.994271
C005,52,110000,72,5,0,0.000000
C006,31,55000,12,2,3,0.113437
C007,42,85000,36,4,1,0.000024
C008,23,32000,2,1,10,0.999331
C009,38,68000,18,2,4,0.039102
C010,55,125000,84,6,0,0.000000
C011,29,42000,8,2,6,0.885897
C012,48,98000,60,5,0,0.000000
C013,33,61000,15,3,2,0.014552
C014,41,79000,30,3,1,0.000155
C015,26,36000,4,1,7,0.987158
C016,50,105000,66,5,0,0.000000
C017,37,73000,22,2,3,0.006142
C018,44,89000,42,4,1,0.000007
C019,30,48000,10,2,5,0.607258
C020,57,132000,90,6,0,0.000000
